id,answer_type,string,keywords
1,resource,Give me all cosmonauts.,cosmonauts
2,date,Give me the birthdays of all actors of the television show Charmed.,"television show, Charmed, actor, birthday"
3,resource,Who is the daughter of Robert Kennedy married to?,"Robert Kennedy, daughter, married"
4,resource,Which river does the Brooklyn Bridge cross?,"river, cross, Brooklyn Bridge"
5,number,How many countries are there in Europe?,"Europe, countries"
6,resource,In which city did John F. Kennedy die?,"city, John F. Kennedy, die"
7,boolean,Does the Isar flow into a lake?,"Isar, flow, lake"
8,resource,Which countries have more than ten caves?,"country, cave, more than ten"
9,boolean,Are tree frogs a type of amphibian?,"tree frog, amphibian"
10,resource,Who created Goofy?,"created, Goofy"
11,resource,Give me the capitals of all countries in Africa.,"Africa, country, capital"
12,resource,Give me all cities in New Jersey with more than 100000 inhabitants.,"New Jersey, city, inhabitants, more than 100000"
13,resource,Which museum exhibits The Scream by Munch?,"museum, Scream, Munch"
14,boolean,Is Egypts largest city also its capital?,"largest city, Egypt, capital"
15,number,How many people live in the capital of Australia?,"Australia, capital, people, live"
16,resource,In which country is the Limerick Lake?,"Limerick Lake, country"
17,resource,Which television shows were created by John Cleese?,"television show, create, John Cleese"
18,resource,Which mountain is the highest after the Annapurna?,"mountain, highest after, Annapurna"
19,resource,In which films directed by Garry Marshall was Julia Roberts starring?,"film, directed, Garry Marshall, starring, Julia Roberts"
20,boolean,Was U.S. president Jackson involved in a war?,"U.S. president, Jackson, war"
21,resource,Give me all communist countries.,communist countries
22,resource,Which awards did Douglas Hofstadter win?,"Douglas Hofstadter, award"
23,resource,What is the currency of the Czech Republic?,"Czech republic, currency"
24,resource,Which countries adopted the Euro?,"country, adopt, Euro"
25,number,What is the area code of Berlin?,"Berlin, area code"
26,resource,Which countries have more than two official languages?,"country, official language, more than two"
27,resource,Who is the owner of Rolls-Royce?,"Rolls-Royce, owner"
28,resource,Through which countries does the Yenisei river flow?,"Yenisei river, flow through, country"
29,date,When did Latvia join the EU?,"Latvia, join, EU"
30,resource,Which politicians were married to a German?,"politician, married, German"
31,date,When was the Battle of Gettysburg?,Battle of Gettysburg
32,resource,What is the highest mountain in Australia?,"Australia, highest mountain"
33,resource,Give me all soccer clubs in Spain.,"Spain, soccer club"
34,resource,What is the official language of Suriname?,"Suriname, official language"
35,resource,Who is the mayor of Tel Aviv?,"Tel Aviv, mayor"
36,resource,Which telecommunications organizations are located in Belgium?,"telecommunications organization, located, Belgium"
37,boolean,Is Frank Herbert still alive?,"Frank Herbert, alive"
38,resource,What is the highest place of the Urals?,"Urals, highest place"
39,resource,Who wrote the lyrics for the Polish national anthem?,"Poland, national anthem, write, lyrics"
40,resource,Give me all federal chancellors of Germany.,"Germany, federal chancellors"
41,string,What is the official website of Tom Cruise?,"Tom Cruise, official website"
42,resource,List all episodes of the first season of the HBO television series The Sopranos.,"HBO, television series, Sopranos, first season, episode"
43,boolean,Is there a video game called Battle Chess?,"video game, Battle Chess"
44,string,Give me the websites of companies with more than 500000 employees.,"website, company, employee, more than 500000"
45,resource,Which actors were born in Germany?,"actor, born, Germany"
46,resource,Which instruments does Cat Stevens play?,"Cat Stevens, instrument"
47,resource,Give me all books written by Danielle Steel.,"book, written, Danielle Steel"
48,date,When did the Ming dynasty dissolve?,"dissolve, Ming dynasty"
49,boolean,Is Lake Baikal bigger than the Great Bear Lake?,"Lake Baikal, bigger than, Great Bear Lake"
50,boolean,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,"Cuban Missile Crisis, earlier, Bay of Pigs Invasion"
51,boolean,Are there other solar systems?,solar systems
52,boolean,Did George Washington want to be a teacher?,"George Washington, teacher"
53,boolean,Does Johns Hopkins Bayview Medical Center have a burn victim unit?,"Johns Hopkins Bayview Medical Center,burn victim unit"
54,resource,Give me all greek gods.,greek gods
55,resource,Give me the names of all of the people who signed the American Declaration of Independence.,"people, signed, American Declaration of Independence, names"
56,resource,The name of which ocean refers to Atlas of Greek mythology?,"ocean, refers, Atlas, Greek mythology, name"
57,resource,Which star is about 4.24 light-years from the Sun.,"star, Sun, 4.24 light-years"
58,string,Which transmission does the German car with a top speed of 407 km/h have?,"transmission, German car, top speed of 407 km/h"
59,resource,Which star's diameter is about 109 times that of Earth?,"star's diameter, 109 times that of Earth"
60,resource,Which writer was involved in two successive plane crashes?,"writer, two successive plane crashes"
61,number,"How many children did the person have that began their concerts with 'Hello, I'm Johnny Cash'?","children, concerts,  'Hello, I'm Johnny Cash'"
62,number,What is the team size of the sport that is practiced by 250 million players in over 200 nations?,"team size, sport, 250 million players, over 200 nations"
63,boolean,Were there more than 1000 different species of non-avian dinosaurs?,"different species of non-avian dinosaurs, more than,  1000"
64,resource,Which indigenous language includes a large proportion of non-indigenous people?,"indigenous language, includes, non-indigenous people"
65,resource,Which animal is primarily responsible for the extinction of 33 species of birds?,"animal, responsible, extinction, 33 species of birds"
66,boolean,Was the Earth formed about 4.54 billion years ago?,"Earth, formed, 4.54 billion years "
67,resource,Which television series is about the survivors of a passenger jet crash on a tropical island?,"television series, survivors,  jet crash, tropical island"
68,resource,In what present-day country did the Protestant Reformation begin?,"country, begin, Protestant Reformation"
69,boolean,Is Michael Jordan the MVP of all time?,"Michael Jordan,  MVP, all time"
70,resource,Which company is a portmanteau of the words microcomputer and software?,"company, portmanteau, microcomputer and software"
71,resource,What causes earthquakes?,"earthquakes, causes"
72,resource,Who was the first European to reach India by sea?,"India, sea"
73,resource,For which video game was an Apple II version planned but never released.,"video game, Apple, version"
74,boolean,Is an eggshell made of Calcium carbonate?,"eggshell, Calcium carbonate"
75,resource,What is California's state bird?,California's state bird
76,resource,What is the worldwide best-selling album of all time?,"worldwide best-selling album, time"
77,string,What is the alias of the band which member was ranked the 17th greatest guitarist of all time by a Guitar World magazine reader's poll in 2012?,"time, Guitar World magazine reader's poll, member, greatest guitarist, alias, band"
78,resource,What is the best-selling book of all time?,"best-selling book, time"
79,number,What is the maximum depth of the lake with the alleged sighted monster Nessie?,"lake, alleged sighted monster Nessie, maximum depth"
80,number,How many bits does the CPU of the device have that IGN named the 9th greatest video game console of all time?,"IGN, greatest video game console, time, CPU, device"
81,resource,What is created by tanning animal rawhide?,animal rawhide
82,resource,What is the capital of the state whose flag reflects Hispanic and Native American influences?,"flag, Native American influences, state"
83,resource,What causes the sound of thunder?,sound of thunder
84,resource,Which animal is the largest flying land bird in the western hemisphere?,"largest flying land bird, western hemisphere, animal"
85,number,What is the total population of the town that port wine is named after?,"town, total population, port wine"
86,date,Give me the completion date of the ship sunken in the North Atlantic Ocean in 1912 and rediscovered in 1985.,"ship sunken, North Atlantic Ocean, completion date"
87,date,When did the person who worked on short satirical poems together with Goethe die?,"short satirical poems, Goethe die, person"
88,resource,Which food's name derived from the verb 'empanar'?,"verb, food's, empanar"
89,date,When was the leader of the first Antarctic expedition to reach the South Pole born?,"Antarctic expedition, South Pole, leader"
90,resource,"Which urban fire in the United States burned from October 8 to October 10, 1871?",United States
91,string,What is the official name of the host city of the Summer Olympic Games in 1932 and 1984?,"host city, Summer Olympic Games"
92,date,When was the band found whose performance in 1998 was documented by Wim Wenders?,"performance, Wim Wenders, band"
93,resource,Which battle in 1757 marked the beginning of the expansion of the British Empire in Asia?,"expansion, British Empire, Asia"
94,resource,Which Hindu deity is also known as 'Vinayaka'?,"Hindu deity, Vinayaka"
95,resource,Which newspaper had an average daily circulation of 189000 copies in August 2013?,"average daily circulation, newspaper, copies"
96,resource,Which tiger reserve in India shares the north-eastern boundary with Nepal?,"India, north-eastern boundary"
97,resource,Who was the first deaf-blind person to receive a bachelor of arts degree?,"deaf-blind person, bachelor of arts degree"
98,resource,Who was the first man to walk on the moon?,"man, moon, walk"
99,number,How many floors does the tower on the Champ de Mars in Paris have?,"Champ, tower, Mars"
100,resource,The net worth of which actor is estimated by Forbes magazine to be $350 million?,"actor, net worth, Forbes magazine"
101,resource,Who was the doctoral supervisor of Albert Einstein?,"doctoral supervisor, Albert Einstein"
102,boolean,Did Kaurismäki ever win the Grand Prix at Cannes?,"Kaurismäki, winner, Grand Prix at Cannes"
103,resource,Who wrote the song Hotel California?,"write, song, Hotel California"
104,resource,Who was on the Apollo 11 mission?,"involved people, Apollo 11 mission"
105,resource,Which electronics companies were founded in Beijing?,"electronics companies, founded, Beijing"
106,resource,What is in a chocolate chip cookie?,"ingredients, chocolate chip cookie"
107,boolean,Was the wife of president Lincoln called Mary?,"Lincoln, president, wife, called, Mary"
108,number,How many movies did Park Chan-wook direct?,"how many movies, directed, Park Chan-wook"
109,resource,In which U.S. state is Mount McKinley located?,"U.S. state, located, Mount McKinley"
110,resource,Which Indian company has the most employees?,"Indian company, the most employees"
111,resource,In which school did Obama's wife study?,"school, Obama's wife, study"
112,resource,Where does Piccadilly start?,"Piccadilly, start"
113,resource,What is the capital of Cameroon?,"capital, Cameroon"
114,date,When did the Boston Tea Party take place?,"Boston Tea Party, take place"
115,resource,Who played Gus Fring in Breaking Bad?,"play, Gus Fring, Breaking Bad"
116,resource,Who wrote Harry Potter?,"wrote, Harry Potter"
117,resource,Which actors play in Big Bang Theory?,"actors, Big Bang Theory"
118,resource,What is the largest country in the world?,"largest country, world"
119,resource,Which states border Illinois?,"state, border, Illinois"
120,number,How many goals did Pelé score?,"how many, goal, Pelé"
121,resource,Who is the president of Eritrea?,"president, Eritrea"
122,resource,Which computer scientist won an oscar?,"computer scientist, win, oscar"
123,resource,Who created Family Guy?,"create, Family Guy"
124,number,How many people live in Poland?,"How many people, Poland"
125,resource,To which party does the mayor of Paris belong?,"party, mayor of Paris, belong"
126,resource,Who does the voice of Bart Simpson?,"voice, Bart Simpson"
127,resource,Who composed the soundtrack for Cameron's Titanic?,"compose, soundtrack, Cameron's Titanic"
128,date,When did Boris Becker end his active career?,"Boris Becker, end career"
129,resource,Show me all basketball players that are higher than 2 meters.,"basketball players, higher than 2 meters"
130,resource,What country is Sitecore from?,"country, Sitecore"
131,resource,Which country was Bill Gates born in?,"country, born, Bill Gates"
132,resource,Who developed Slack?,"developer, Slack"
133,resource,In which city did Nikos Kazantzakis die?,"city, Nikos Kazantzakis, die"
134,number,How many grand-children did Jacques Cousteau have?,"how many, grand-children, Jacques Cousteau"
135,resource,Which films did Stanley Kubrick direct?,"film, Stanley Kubrick, direct"
136,boolean,Does Neymar play for Real Madrid?,"Neymar, play, Real Madrid"
137,number,How many seats does the home stadium of FC Porto have?,"How many seats, stadium of FC Porto"
138,resource,Show me all books in Asimov's Foundation series.,"books, Asimov, Foundation series"
139,resource,Which movies star both Liz Taylor and Richard Burton?,"movies, star, Liz Taylor, Richard Burton?"
140,resource,In which city are the headquarters of the United Nations?,"city, headquarters of the United Nations"
141,resource,In which city was the president of Montenegro born?,"city, born, president of Montenegro"
142,resource,Which writers studied in Istanbul?,"writers, studied, Istanbul"
143,resource,Who is the mayor of Paris?,mayor of Paris
144,string,What is the full name of Prince Charles?,"full name, Prince Charles"
145,resource,What is the longest river in China?,"longest river, China"
146,resource,Who discovered Ceres?,"discoverer, Ceres"
147,date,When did princess Diana die?,"date, princess Diana, died"
148,resource,Which presidents were born in 1945?,"president, born, 1945"
149,resource,Give me all federal chancellors of Germany.,"Germany, federal chancellors"
150,number,How many moons does Mars have?,"how many, moons, Mars"
151,resource,What was the first Queen album?,"first album, Queen"
152,boolean,Did Elvis Presley have children?,"Elvis Presley, children"
153,resource,Give me a list of all Canadians that reside in the U.S.,"list, Canadians, residing in the U.S."
154,resource,Where is Syngman Rhee buried?,"where, Syngman Rhee, buried"
155,resource,In which countries do people speak Japanese?,"which countries, speak, Japanese"
156,resource,Who is the king of the Netherlands?,"king, the Netherlands"
157,resource,Who produced the most films?,"film, produced, most"
158,resource,Show me all Czech movies.,Czech movies
159,resource,Which rivers flow into the North Sea?,"rivers, flow, North Sea"
160,date,When did Operation Overlord commence?,"when, Operation Overlord, commence"
161,resource,Where do the Red Sox play?,"where, Red Sox, play"
162,resource,In which time zone is Rome?,"time zone, Rome"
163,resource,Give me a list of all critically endangered birds.,"list, critically endangered birds"
164,number,How much did the Lego Movie cost?,"Lego Movie, cost"
165,resource,What was the original occupation of the inventor of Lego?,"original occupation, inventor, Lego"
166,resource,Which countries have more than ten volcanoes?,"countries, more than ten volcanoes"
167,resource,Show me all U.S. states.,U.S. states
168,resource,Who wrote the Game of Thrones theme?,"writer, Game of Thrones"
169,resource,Give me all films produced by Hal Roach.,"film, produce, Hal Roach"
170,resource,In which films did Julia Roberts as well as Richard Gere play?,"film, play, Julia Roberts, Richard Gere"
171,date,When was Olof Palme shot?,"date, Olof Palme, shot"
172,number,How many emperors did China have?,"How many emperors, China"
173,resource,Show me the book that Muhammad Ali wrote.,"book, wrote, Muhammad Ali"
174,resource,Which country has the most official languages?,"country, official language, most"
175,resource,How did Michael Jackson die?,"how, Michael Jackson, die"
176,resource,Which space probes were sent into orbit around the sun?,"space probes, orbit around the sun"
177,resource,Who produced films starring Natalie Portman?,"produce, film, starring, Natalie Portman"
178,resource,What is the biggest stadium in Spain?,"biggest stadium, Spain"
179,resource,On which day is Columbus Day?,"day, Columbus Day"
180,resource,How short is the shortest active NBA player?,"How short, shortest active player, NBA"
181,resource,Whom did Lance Bass marry?,"wife, Lance Bass"
182,resource,What form of government does Russia have?,"form of government, Russia"
183,resource,What movies does Jesse Eisenberg play in?,"movies, Jesse Eisenberg"
184,resource,Give me all soccer clubs in the Premier League.,"Premier League, soccer club"
185,resource,Show me all museums in London.,"museums, London"
186,resource,Give me all South American countries.,"countries, South American"
187,resource,Which pope succeeded John Paul II?,"pope, succeed, John Paul II"
188,resource,Who is the son of Sonny and Cher?,"son, Sonny and Cher"
189,resource,What are the five boroughs of New York?,"five boroughs, New York"
190,resource,Show me Hemingway's autobiography.,"autobiography, Hemingway"
191,resource,What kind of music did Lou Reed play?,"kind of music, Lou Reed, play"
192,resource,In which city does Sylvester Stallone live?,"city, live, Sylvester Stallone"
193,resource,Who was Vincent van Gogh inspired by?,"person, inspiring, Vincent van Gogh"
194,string,What are the names of the Teenage Mutant Ninja Turtles?,"names, Teenage Mutant Ninja Turtles"
195,resource,What are the zodiac signs?,zodiac signs
196,resource,What languages do they speak in Pakistan?,"languages, Pakistan"
197,resource,Who became president after JFK died?,"president, after JFK death"
198,resource,In what city is the Heineken brewery?,"city, Heineken brewery"
199,resource,What is Elon Musk famous for?,"famous for, Elon Musk"
200,string,What is Batman's real name?,"real name, Batman"
201,resource,Who plays Phileas Fogg in the adaptation of Around the World in 80 Days directed by Buzz Kulik?,"adaptation, Days, World, Buzz Kulik"
202,resource,At which college did the only American actor that received the César Award study?,"American actor, César Award study, college"
203,resource,Where did the first man in space die?,"man, space die"
204,resource,Which Chinese-speaking country is a former Portguese colony?,"country, Portguese colony, Chinese-speaking"
205,resource,What is the largest city in the county in which Faulkner spent most of his life?,"Faulkner, county, largest city"
206,resource,Which movie by the Coen brothers stars John Turturro in the role of a New York City playwright?,"role, Coen brothers stars John Turturro, New York City playwright, movie"
207,resource,Dakar is the capital of which country member of the African Union?,"country member, capital, African Union, Dakar"
208,resource,Which city does the first person to climb all 14 eight-thousanders come from?,"city, person, thousanders"
209,resource,Under which king did the British prime minister that signed the Munich agreement serve?,"British prime minister, Munich agreement, king"
210,resource,Who succeeded the pope that reigned only 33 days?,"pope, 33 days"
211,resource,A landmark of which city is the home of the Mona Lisa?,"home, city, Mona Lisa"
212,resource,Which street basketball player was diagnosed with Sarcoidosis?,"street basketball player, Sarcoidosis"
213,date,When was the composer of the opera Madame Butterfly born?,"composer, opera Madame Butterfly"
214,resource,Which anti-apartheid activist graduated from the University of South Africa?,"University of South Africa, anti-apartheid activist"
215,resource,Who is the front man of the band that wrote Coffee & TV?,"band, Coffee, man"
216,resource,Which recipients of the Victoria Cross died in the Battle of Arnhem?,"Victoria Cross, Battle of Arnhem, recipients"
217,resource,Gaborone is the capital of which country member of the African Union?,"country member, capital, African Union, Gaborone "
218,resource,Which German mathematicians were members of the von Braun rocket group?,"members, Braun rocket group"
219,boolean,Are there man-made lakes in Australia that are deeper than 100 meters?,"Australia, man-made lakes, meters"
220,resource,Which Secretary of State policies lead to the United States' acquisition of Pacific colonies?,"United States' acquisition of Pacific colonies, Secretary of State policies"
221,resource,Which Secretary of State was significantly involved in the United States' dominance of the Caribbean?,"United States' dominance, Caribbean, Secretary of State"
222,resource,Who played the drums in the band that wrote Complete Control?,"band, Complete Control"
223,resource,Which horses did The Long Fellow ride?,"horses, Long Fellow ride"
224,number,How many awards achieved the creator of the world's most famous equation?,"world's, creator, famous equation"
225,resource,"Of the people that died of radiation in Los Alamos, whose death was an accident?","radiation, Los Alamos, death"
226,resource,Which writers converted to Islam?,"writers, converted, Islam"
227,string,Under which pseudonym did Charles Dickens publish some of his books?,"Charles Dickens, pseudonym"
228,resource,For which movie did the daughter of Francis Ford Coppola receive an Oscar?,"daughter of Francis Ford Coppola, movie, Oscar"
229,resource,Who is the president by whom 20 million Americans had gained health insurance?,"Americans, gained health insurance, president"
230,resource,Who invented the World Wide Web?,World Wide Web
231,resource,Which astronauts died at the Columbia disaster also known as STS-107?,"Columbia disaster, astronauts, STS-107"
232,resource,In which city was the assassin of Martin Luther King born?,"assassin of Martin Luther King, assassin , city"
233,string,What is the name of the Viennese newspaper founded by the creator of the croissant?,"creator, Viennese newspaper, croissant"
234,resource,Which members of the Wu-Tang Clan took their stage name from a movie?,"stage, Wu-Tang Clan, members"
235,resource,Which actress starring in the TV series Friends owns the production company Coquette Productions?,"TV series Friends, production company Coquette Productions, actress"
236,resource,Who of those resting in Westminster Abbey wrote a book set in London and Paris?,"book set, London, Westminster Abbey"
237,resource,List all the battles commanded by the lover of Cleopatra.,"battles, lover of Cleopatra"
238,resource,Who was vice president under the president who authorized atomic weapons against Japan during World War II?,"vice president, atomic weapons, Japan, World War ii"
239,string,Daniel Craig,Daniel Craig
240,resource,Which anti-apartheid activist was born in Mvezo?,"anti-apartheid activist, Mvezo"
241,resource,The home of the Mona Lisa is a landmark of which city?,"Mona Lisa, landmark, home"
242,resource,On which island did the national poet of Greece die?,"national poet of Greece die, island"
243,resource,Which books of the laureate of American lowlife are published by Black Sparrow Books?,"Black Sparrow Books, laureate of American lowlife"
244,number,How many floors does the world's only 7 star hotel have?,"world's, 7 star hotel, floors"
245,resource,How many children does the actor who plays Dan White in Milk have?,"children, actor, Dan White, Milk"
246,resource,Who are the architects of the tallest building in Japan?,"architects, tallest building, japan"
247,resource,Which recipients of the Victoria Cross fought in the Battle of Arnhem?,"Victoria Cross, Battle of Arnhem, recipients"
248,resource,"Which buildings in art deco style did Shreve, Lamb and Harmon design?","Shreve, Lamb, art deco style"
249,resource,Which country did the first known photographer of snowflakes come from?,"known photographer of snowflakes, country"
250,resource,"What is the Answer to The Ultimate Question of Life, the Universe, and Everything?","Ultimate Question of Life, Answer, Universe"
251,resource,Which building owned by the Bank of America was featured in the TV series MegaStructures?,"Bank of America, TV series MegaStructures"
252,number,How old is James Bond in the latest Bond book by William Boyd?,"James Bond, latest Bond book, William Boyd"
253,resource,Which of the volcanoes that erupted in 1550 was named after an explorer?,"volcanoes,  erupted in 1550, named, explorer"
254,resource,"In which British territories was the \""Father of Singapore\"" born?","Father of Singapore, British territories, born"
255,number,How many Golden Globe awards did the daughter of Henry Fonda win?,"daughter of Henry Fonda win, Golden Globe awards"
256,resource,Who are the sons of the songwriter of the Beatles?,"sons, songwriter"
257,resource,Where did the first human in space die?,"human, space die"
258,resource,Which daughter of Francis Ford Coppola received an Academy Award for Lost in Translation?,"Academy Award, daughter of Francis Ford Coppola, Translation"
259,number,"In which year did the Hungarian-American actor called \""The King of Horror\"" make his first film?","Hungarian-American actor, year, King of Horror, film"
260,resource,What is the native city of Hollywood's highest-paid actress?,native city of Hollywood's highest-paid actress
261,resource,Give me the currencies of all G8 countries.,"currencies, G8 countries"
262,boolean,Did Napoleon's first wife die in France?,"Napoleon's, wife"
263,resource,In which city does the leader of the Xposé girls live?,"leader, Xposé girls, city"
264,date,When was the composer of the opera Madama Butterfly born?,"composer, opera Madama Butterfly"
265,number,How many Golden Globe awards did the husband of Katie Holmes win?,"husband of Katie Holmes win, Golden Globe awards"
266,resource,Are the Rosetta Stone and the Gayer-Andersen cat exhibited in the same museum?,"Gayer-Andersen cat, Rosetta Stone, museum"
267,resource,In which city was the mother of Bill Gates born?,"city, mother of Bill Gates, born"
268,resource,What eating disorder is characterized by an appetite for substances such as clay and sand?,"appetite, substances, clay"
269,string,Lost in Translation,Translation
270,resource,Which movie established a second carrier for Bill Murray?,"carrier, Bill Murray"
271,resource,Which anti-apartheid revolutionary was born in Mvezo?,"anti-apartheid revolutionary, Mvezo"
272,resource,In which town was the man convicted of killing Martin Luther King born?,"man, Martin Luther King, town, killed"
273,resource,Under which king did the British prime minister that had a reputation as a playboy serve?,"reputation, British prime minister, king,  playboy serve"
274,number,How old was Steve Job's sister when she first met him?,"Steve Job's sister, old, meet"
275,date,When was the the greatest composer of Italian opera after Verdi born?,"greatest composer of Italian opera, Verdi"
276,resource,Who composed the music for the film that depicts the early life of Jane Austen?,"early life of Jane Austen, film, music"
277,resource,Which writers had influenced the philosopher that refused a Nobel Prize?,"philosopher, Nobel Prize"
278,resource,Who composed the music for the film that depicts the early life of Jane Austin?,"early life of Jane Austin, film, music"
279,string,Under which pseudonym did Charles Dickens write some of his books?,"Charles Dickens, pseudonym"
280,resource,Which princess died in a car crash in Paris?,"car crash, princess"
281,resource,Which birds are protected under the National Parks and Wildlife Act?,"National Parks, Wildlife Act"
282,resource,List all the battles fought by the lover of Cleopatra.,"battles, lover of Cleopatra"
283,resource,Who is the founder of the Turkish Republic?,"founder, Turkish Republic"
284,resource,Which buildings owned by the crown overlook the North Sea?,"crown, North Sea"
